id,cleaned_text,sentiment
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Love is what moves the world I ve always thought it is the only thing which allows men and women to stand in a world where gravity always seems to want to pull them down bring them low and make them crawl,Positive
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,World Cup WhoAreYa 16 7 8 PlayFootballGames,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,The learning process should continue after school General education was a bunch of bullshit that we didn t need in the real world Educate yourself through books podcast YouTube videos and events,Negative
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,I want to know where the money is going,Positive
1.59796E+18,The EU is not turning away fighting age Ukrainian men who are dodging conscription loads of those in the EU and rightly so Parties to the 1951 Refugee Convention should comply with it whether they are EU members or not,Positive
1.59796E+18,1 in 6 grown men were sexually abused as children In this world ruled by distored men why those grown men do not speak against it When are men going to addressed this issue,Negative
1.59796E+18,Guendouzi starting at the World Cup,Neutral
1.59796E+18,Good afternoon Kick off this Saturday is 3pm as usual The clubhouse will be showing the World Cup match between Netherlands and USA but the real action will be outside,Positive
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Iranian protesters celebrate World Cup defeat as fears surround players return,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,They took the pursuit of the mystical experience into their own hands and developed a way of thinking about the world that helped them communicate with and directly experience what they call a more visionary reality,Positive
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Slowly pushes them together,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,I wonder how much for the box,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Sapkal SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,lisaya SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,go out into the world and use your eyes and read your hg,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,PrincessMeghan A seed indeed all over the world racists can t bury her,Negative
1.59796E+18,update i m literally so infuriated at this whole goddamn world rn nobody deserves this pls send funds for their survival,Negative
1.59796E+18,esmee SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,world may see it,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,lilly SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,CR7 Free Mint poshtk23 life1127,Positive
1.59796E+18,drooms in all the world Still it might be done,Neutral
1.59796E+18,Different world at night even humans are more sensitive to sound when our primary sense sight is impaired by darkness,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,TLB Plenty of rust out in the oceans,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,,Neutral
1.59796E+18,The world fucked up ain t gone lie,Negative
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Nor does it you dickhead lol,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,wearing earphones amp my spotify wrapped started off with perfect world,Positive
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,POL 2 3 ARG surely LFG,Positive
1.59796E+18,hps SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Good movie In a world of reboots I am honestly surprised they haven t remade this one yet,Positive
1.59796E+18,PROLOGUE I When the war of the beasts brings about the world s end The goddess descends from the sky,Negative
1.59796E+18,me SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,leo SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,alfattakitchen WorldCup,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,No way There s a lot of companies all over the world working on this Businesses like google and Apple huge tech companies in China,Positive
1.59796E+18,World Cup fan 27 shot and killed for celebrating USA win in Iran,Positive
1.59796E+18,harrington SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,luthor SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Buuuutttt You Win The world Wins,Positive
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Hard to believe but true that each of us has the cutest and funniest cat in the world,Positive
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,Queens,Neutral
1.59796E+18,No other language in the world more poetic than Urdu,Neutral
1.59796E+18,Do One man s world,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,1 SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,ALCHEM1ST SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,2 0,Neutral
1.59796E+18,You may only be a person in y x R I L this world,Positive
1.59796E+18,And this one is potential to laundry your fuckin money Good for crooked,Positive
1.59796E+18,More people died in Iraq in the first few weeks of the US war on Iraq than Ukrainians did in the whole 9 months of the war still counting but the numbers aren t on your side You love to shed your tears to get European donations and American taxpayer money down your throats,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,That s what a loser does when they can t win is try and character asassinate further more what makes her so sanctimonious to think he should be the one to solve world hunger just like DJT says LOSER,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
1.59796E+18,SpotifyWrapped is here Share yours with the world Reply stop to opt out,Neutral
